strata,population
boucle_du_mouhoun_pop_local,2030595
cascades_pop_local,851276
centre_pop_local,2966307
centre_est_pop_local,1655846
centre_nord_pop_local,1736887
centre_ouest_pop_local,1689721
centre_sud_pop_local,1197207
est_pop_local,1834166
hauts_bassins_pop_local,2190829
nord_pop_local,1677542
plateau_central_pop_local,975568
sahel_pop_local,1437848
sud_ouest_pop_local,891529
boucle_du_mouhoun_pdi,44902
cascades_pdi,8098
centre_pdi,1051
centre_est_pdi,28446
centre_nord_pdi,433597
centre_ouest_pdi,11126
centre_sud_pdi,4008
est_pdi,71394
hauts_bassins_pdi,20571
nord_pdi,76953
plateau_central_pdi,15199
sahel_pdi,352402
sud_ouest_pdi,7246
